t,ex0,to0,cg0,ex1,to1,cg1,ex2,to2,cg2
1.17,-0.288295423251281,-0.043647330837225454,-0.2201577836424255,-0.20145527724194406,-0.1516511780615838,-0.18447099245847384,-0.10543630960103743,-0.23944309998796143,-0.13647813965269925
1.18,-0.2942303345587703,-0.04309027753347026,-0.22519965145900608,-0.20442904505379508,-0.1530457151404039,-0.18841114569940737,-0.10587914755188725,-0.24348128907936284,-0.13903451261355282
1.19,-0.299911908340872,-0.04247596229319754,-0.23008608209149856,-0.20718641673931062,-0.15424251826382687,-0.19220919952797294,-0.10617680263400597,-0.24727334653826236,-0.14147291892680042
1.2,-0.30534211830240693,-0.04181085580980234,-0.23481747701160188,-0.20973134582330716,-0.15524639439467847,-0.19586613915996415,-0.1063350949353995,-0.25082255406441617,-0.14379492298988356
1.21,-0.31052299477932954,-0.04110138060825722,-0.23939427950293532,-0.2120677898307235,-0.15606222600822955,-0.19938297649653244,-0.10636366345866263,-0.2541322317125403,-0.14600209310851664
1.22,-0.3154566247387284,-0.040353794843023455,-0.2438169746610387,-0.21419971028662088,-0.15669497109219596,-0.202760750124187,-0.10626956644140141,-0.25720573789231044,-0.14809600149668703
1.23,-0.3201451517788258,-0.03957201069712568,-0.24808608939337212,-0.21613107271618273,-0.15714966314673842,-0.20600052531479496,-0.10605841841493363,-0.26004646936836207,-0.1500782242766548
1.24,-0.324590776128978,-0.03875899230781238,-0.25220219241931635,-0.21786584664471498,-0.15743141118446258,-0.20910339402558115,-0.105735732285966,-0.26265786126029034,-0.15195034147895303
1.25,-0.3287957546496752,-0.03791789693128703,-0.2561658942701724,-0.2194080055976458,-0.15754539973041898,-0.21207047489912834,-0.10530691933659404,-0.2650433870426503,-0.15371393704238773
1.26,-0.3327624008325414,-0.03705184534625782,-0.2599778472891618,-0.22076152710052582,-0.15749688882210333,-0.21490291326337702,-0.10477728922430225,-0.26720655854495673,-0.15537059881403764
1.27,-0.33649308480033446,-0.036163921853937596,-0.26363874563142653,-0.2219303926790278,-0.1572922604142962,-0.21760188113162557,-0.10415204998196395,-0.2691509259516841,-0.15692191854925452
1.28,-0.33999023330694633,-0.03525717427804391,-0.26714932526402896,-0.22291858785894714,-0.15694095293165847,-0.22016857720253014,-0.10343630801784136,-0.2708800778022667,-0.15836949191166305
1.29,-0.3432563297374026,-0.03433461396479899,-0.2705103639659519,-0.22373010216620134,-0.15644928019777044,-0.2226042268601048,-0.1026350681155856,-0.27239764099109853,-0.1597149184731606
1.3,-0.3462939141078629,-0.03339921578292976,-0.2737226813280987,-0.22436892912683037,-0.1558231449228156,-0.22491008217372135,-0.10175323343423667,-0.27370728076753337,-0.1609598017139176
1.31,-0.3491055830656208,-0.03245391812366782,-0.27678713875329297,-0.22483906626699646,-0.15506836107678093,-0.22708742189810938,-0.10079560550822346,-0.2748127007358847,-0.1621057490223773
1.32,-0.3516939898891036,-0.03150162290074947,-0.27970463945627894,-0.22514451511298433,-0.15419065388945685,-0.2291375514733564,-0.09976688424736373,-0.275717642855426,-0.16315437169525585
1.33,-0.3540618444878726,-0.030545195550415682,-0.28247612846372117,-0.2252892811912009,-0.15319565985043726,-0.23106180302490775,-0.09867166793686415,-0.27642588744039015,-0.16410728493754229
1.34,-0.3562119134026229,-0.029587465031412134,-0.28510259261420473,-0.2252773740281755,-0.15208892670911953,-0.23286153536356646,-0.09751445323732025,-0.27694125315997004,-0.16496610786249855
1.35,-0.35814701980518365,-0.02863122382498917,-0.287585060558235,-0.2251128071505598,-0.15087591347470455,-0.23453813398549356,-0.09629963518471647,-0.2772675970383182,-0.16573246349165938
1.36,-0.3598700434985178,-0.02767922793490184,-0.28992460275823795,-0.22479959808512784,-0.14956199041619658,-0.23609301107220768,-0.09503150719042613,-0.27740881445454707,-0.16640797875483254
1.37,-0.3613839209167221,-0.026734196887409866,-0.2921223314885599,-0.22434176835877595,-0.14815243906240344,-0.2375276054905855,-0.09371426104121143,-0.27736883914272864,-0.16699428449009862
1.3800000000000001,-0.3626916451250274,-0.025798813731277667,-0.2941794008354677,-0.22374334349852287,-0.1466524522019364,-0.23884338279286138,-0.09235198689922344,-0.2771516431918948,-0.16749301544381107
1.3900000000000001,-0.3637962658197982,-0.024875725037774344,-0.29609700669714845,-0.22300835303150957,-0.14506713388321016,-0.2400418352166276,-0.09094867330200218,-0.2767612370460371,-0.16790581027059615
1.4000000000000001,-0.364700889328533,-0.023967540900673684,-0.29787638678370987,-0.2221408304849995,-0.1434014994144429,-0.24112448168483414,-0.08950820716247647,-0.27620166950410696,-0.1682343115333532
1.41,-0.36540867860986437,-0.02307647144531192,-0.29951882061718,-0.22114481338637845,-0.14166047536365636,-0.24209286780578892,-0.08803437376896409,-0.27547702772001553,-0.1684801657032543
1.42,-0.36592285325355856,-0.022202439984176554,-0.30102562953150747,-0.22002434326315445,-0.1398488995586756,-0.24294856587315766,-0.08653085678517164,-0.2745914372026336,-0.1686450231597445
1.43,-0.36624668948051564,-0.021345480455127002,-0.3023981766725612,-0.21878346564295792,-0.13797152108712926,-0.2436931748659638,-0.08500123825019465,-0.2735490618157919,-0.16873053819054162
1.44,-0.3663835201427697,-0.020505776737818525,-0.30363786699813067,-0.21742623005354172,-0.13603300029644944,-0.2443283204485887,-0.08344899857851754,-0.27235410377828084,-0.16873836899163652
1.45,-0.3663367347234888,-0.01968353779078802,-0.3047461472779256,-0.2159566900227809,-0.13403790879387165,-0.24485565497077155,-0.08187751656001357,-0.27101080366385044,-0.1686701776672928
1.46,-0.36610977933697486,-0.018878997651454014,-0.3057245060935765,-0.214378903078673,-0.13199072944643492,-0.2452768574676093,-0.08029006935994498,-0.2695234404012108,-0.168527612589451
1.47,-0.36570615672866347,-0.018092415436116675,-0.3065744738386338,-0.21269823929663204,-0.12989585638098175,-0.24559363365955678,-0.07868983251896278,-0.26789633127403145,-0.16831165204587759
1.48,-0.36512942627512435,-0.0173240753399578,-0.30729762271856886,-0.2109227713024987,-0.1277575949841581,-0.24580771595242662,-0.07707990857591515,-0.26613383192094187,-0.16802384422313116
1.49,-0.36438320398406104,-0.016574286637040823,-0.30789556675077323,-0.20905745944106469,-0.12558016190241342,-0.24592086343738923,-0.07546450305568532,-0.2642403363355313,-0.16766616123283648
1.5,-0.363471162494311,-0.015843383680310807,-0.308369961764559,-0.2071069641319518,-0.12336768504200057,-0.2459348618909729,-0.07384629621762293,-0.2622202768663487,-0.16724054877877279
1.51,-0.3623970310758454,-0.015131725901594456,-0.3087225054011586,-0.20507584920356212,-0.12112420356897595,-0.24585152377506375,-0.07222693532165932,-0.26007812421690263,-0.16674892615687364
1.52,-0.36116459562976966,-0.014439697811600101,-0.30895493711372496,-0.20296858189307812,-0.1188536679091994,-0.2456726882369057,-0.07060803231298815,-0.25781859400313334,-0.1661931862552271
1.53,-0.35977769868832277,-0.013767708999917715,-0.30906903816733144,-0.2007895328464627,-0.11655993974833423,-0.24540022110910045,-0.06899116382206547,-0.2554496842854,-0.1655751955540756
1.54,-0.35824023941487765,-0.013116194135018898,-0.3090666316389719,-0.19854297611845903,-0.1142467920318472,-0.24503601490960755,-0.06737787116460965,-0.2529776897538199,-0.16489679412581595
