t,e0,e1,e2,e3,e4,b0,b1,b2,b3,b4
6.09,6.91279450502649e-12,2.8634218356555647e-12,1.3831220621350518e-12,2.729548845193199e-14,4.8880012223164336e-15,0.980932886927032,0.9082313215797245,0.8248841334985029,0.3819132716283805,0.14585774704589152
6.1000000000000005,6.638884235316582e-12,2.7474476232259535e-12,1.325889982146062e-12,2.6064335364937733e-14,4.883362052259892e-15,0.9809018789291101,0.9080877814104944,0.8246234187470839,0.3813101111442764,0.14539740086085876
6.11,6.375831668398186e-12,2.6361785737345685e-12,1.2710254048573211e-12,2.488416574506532e-14,4.9080530823340264e-15,0.9808708719113735,0.9079442639268727,0.8243627863977608,0.3807079032391912,0.14493850758877974
6.12,6.123206052539756e-12,2.5294236134021447e-12,1.2184311174768347e-12,2.3759943476112054e-14,4.938591938350204e-15,0.9808398658737911,0.9078007691252743,0.8241022364244897,0.38010664640870473,0.14448106264407043
6.13,5.8805937249093876e-12,2.426999408437468e-12,1.168013872728873e-12,2.2690089128083482e-14,4.968862953666205e-15,0.980808860816332,0.9076572970021142,0.8238417688012345,0.3795063391507728,0.14402506145561975
6.140000000000001,5.647597434912712e-12,2.3287300532364107e-12,1.1196841724952578e-12,2.1668469502705807e-14,4.9888444783591575e-15,0.9807778567389652,0.9075138475538084,0.8235813835019674,0.3789069799657233,0.1435704994667434
6.15,5.423835694327669e-12,2.234446768421524e-12,1.0733561284450444e-12,2.0700236029899713e-14,5.001330256752482e-15,0.9807468536416597,0.9073704207767733,0.823321080500669,0.37830856735625285,0.1431173721351389
6.16,5.208942153159797e-12,2.1439876130977094e-12,1.0289473626328922e-12,1.9775216116316312e-14,5.041323300644944e-15,0.9807158515243845,0.9072270166674257,0.823060859771328,0.3777110998274225,0.14266567493283955
6.17,5.002565000186396e-12,2.0571972088127384e-12,9.863788353710799e-13,1.8888677615344834e-14,5.038775416508406e-15,0.9806848503871086,0.9070836352221833,0.8228007212879412,0.3771145758866544,0.14221540334616964
6.18,4.804366387200792e-12,1.973926474734753e-12,9.455746375359987e-13,1.8044174704102358e-14,5.034763869933301e-15,0.9806538502298012,0.9069402764374639,0.8225406650245141,0.376518994043728,0.14176655287569928
6.19,4.614021876008338e-12,1.8940323737352553e-12,9.064620132094804e-13,1.7242836617873422e-14,5.0192681023137996e-15,0.9806228510524311,0.9067969403096865,0.8222806909550597,0.3759243528107761,0.14131911903619923
6.2,4.431219907265611e-12,1.8173776692556656e-12,8.689711064076984e-13,1.6477471223399322e-14,5.021750338265536e-15,0.9805918528549674,0.9066536268352701,0.8220207990535998,0.37533065070228144,0.1408730973565964
6.21,4.255661290291423e-12,1.7438306909281202e-12,8.330349110074404e-13,1.5755567877185916e-14,5.059947818556728e-15,0.9805608556373792,0.9065103360106344,0.8217609892941641,0.3747378862350728,0.14042848337992878
6.22,4.087058713014323e-12,1.6732651114942944e-12,7.985891406833643e-13,1.5060459149765903e-14,5.088272944660297e-15,0.9805298593996354,0.9063670678322,0.8215012616507906,0.3741460579283215,0.13998527266330132
6.23,3.925136271255906e-12,1.6055597312886423e-12,7.655721268310064e-13,1.4400665274122053e-14,5.0117709106623225e-15,0.9804988641417052,0.9062238222963876,0.8212416160975257,0.3735551643035373,0.13954346077784113
6.24,3.769629016582113e-12,1.5405982720825365e-12,7.339246858444636e-13,1.3768907448696039e-14,5.016457346812125e-15,0.9804678698635574,0.9060805993996188,0.8209820526084235,0.3729652038845651,0.13910304330865367
6.25,3.6202825219863805e-12,1.4782691791161332e-12,7.035900899977588e-13,1.317669489866553e-14,5.003872024018577e-15,0.9804368765651612,0.9059373991383156,0.8207225711575469,0.37237617519758126,0.13866401585477814
6.26,3.47685246469873e-12,1.418465431187127e-12,6.745138881611592e-13,1.2605309287782474e-14,5.0784044967506194e-15,0.9804058842464856,0.9057942215089007,0.8204631717189665,0.37178807677108944,0.1382263740291439
6.2700000000000005,3.3391042254439038e-12,1.3610843578387542e-12,6.466438258140775e-13,1.2061171208489139e-14,5.054513949440344e-15,0.9803748929074996,0.905651066507797,0.8202038542667615,0.3712009071359174,0.13779011345852638
6.28,3.2068125034992216e-12,1.3060274648661412e-12,6.199299314671451e-13,1.1548060215901316e-14,5.067070433070921e-15,0.9803439025481722,0.9055079341314286,0.8199446187750189,0.3706146648252133,0.13735522978350365
6.29,3.079760946929617e-12,1.2532002657808185e-12,5.943241665382067e-13,1.1051673850494213e-14,4.9713985748850974e-15,0.9803129131684725,0.9053648243762196,0.8196854652178343,0.37002934837444185,0.1369217186584125
6.3,2.9577417974023093e-12,1.2025121204783807e-12,5.697803762425503e-13,1.0576445913421986e-14,5.045909269495473e-15,0.9802819247683694,0.9052217372385948,0.819426393569311,0.36944495632138064,0.13648957575130527
6.3100000000000005,2.8405555490081798e-12,1.1538760802172903e-12,5.462544793447179e-13,1.013109300118618e-14,5.034455753898127e-15,0.9802509373478321,0.9050786727149798,0.819167403803561,0.3688614872061165,0.13605879674390647
6.32,2.728010620540015e-12,1.107208741921647e-12,5.237040575869671e-13,9.717359055597788e-15,5.107447617277152e-15,0.9802199509068296,0.9049356308018006,0.8189084958947043,0.36827893957104224,0.13562937733156982
6.33,2.6199230406997516e-12,1.062430092640593e-12,5.020885358273074e-13,9.314313662431866e-15,5.103068211682021e-15,0.980188965445331,0.9047926114954836,0.8186496698168687,0.3676973119608524,0.13520131322323486
6.34,2.5161161457285518e-12,1.0194633908777582e-12,4.813690889340096e-13,8.93542527876353e-15,5.180595491467895e-15,0.9801579809633051,0.9046496147924561,0.8183909255441909,0.36711660292254,0.13477460014138434
6.3500000000000005,2.4164202889734317e-12,9.782350223968061e-13,4.615082997833463e-13,8.559069902212115e-15,5.196098284198974e-15,0.9801269974607211,0.9045066406891457,0.818132263050815,0.36653681100539265,0.1343492338220014
6.36,2.3206725619238294e-12,9.386743765857325e-13,4.42470347895505e-13,8.21355394870992e-15,5.176872594627387e-15,0.980096014937548,0.9043636891819806,0.817873682310894,0.3659579347609895,0.1339252100145271
6.37,2.228716526270001e-12,9.00713724779223e-13,4.242210524058486e-13,7.889329913123893e-15,5.192851804209833e-15,0.980065033393755,0.9042207602673898,0.8176151832985884,0.3653799727431967,0.1335025244818176
6.38,2.1404019565529316e-12,8.642881033855239e-13,4.067274438833165e-13,7.590613095568218e-15,5.2542404497684124e-15,0.9800340528293109,0.9040778539418026,0.8173567659880674,0.3648029235081647,0.13308117300010233
6.390000000000001,2.0555845929925187e-12,8.293352016287562e-13,3.899580753554042e-13,7.306362789991988e-15,5.211231740526106e-15,0.9800030732441848,0.9039349702016489,0.817098430353508,0.3642267856143241,0.1326611513589412
6.4,1.9741259040968905e-12,7.957952537259979e-13,3.7388275548194957e-13,7.0414261228762946e-15,5.224691427713993e-15,0.9799720946383459,0.9037921090433594,0.8168401763690957,0.36365155762238205,0.13224245536118306
6.41,1.895892858671577e-12,7.636109342256824e-13,3.584726253462835e-13,6.790643654343325e-15,5.265031916888705e-15,0.979941117011763,0.9036492704633649,0.8165820040090237,0.36307723809531894,0.13182508082292338
6.42,1.8207577068618763e-12,7.327272629081026e-13,3.436999314559835e-13,6.534705802117156e-15,5.176306458137237e-15,0.9799101403644054,0.9035064544580972,0.8163239132474939,0.36250382559838473,0.13140902357346262
6.43,1.7485977698763302e-12,7.030915040049432e-13,3.295380632318493e-13,6.285745667524515e-15,5.177173819817227e-15,0.9798791646962419,0.9033636610239886,0.8160659040587159,0.3619313186990952,0.13099427945526448
6.44,1.6792952380525934e-12,6.746530738702467e-13,3.1596156217183244e-13,6.067192338483226e-15,5.163350241667871e-15,0.9798481900072419,0.9032208901574716,0.8158079764169078,0.3613597159672283,0.1305808443239144
6.45,1.6127369764879906e-12,6.473634590793432e-13,3.029460492308334e-13,5.848046776964515e-15,5.15305032067859e-15,0.979817216297374,0.9030781418549798,0.8155501302962955,0.36078901597482116,0.13016871404807825
