t,e0,e1,e2,b0,b1,b2
0.0315,1.1144422794843038e-08,2.784900485159869e-07,1.1133434900858133e-06,7.938537279180292e-06,0.00019846343197950735,0.0007938537279180294
0.031799999999999995,1.1348467394784094e-08,2.835866482949302e-07,1.1337067920595321e-06,8.090467561802247e-06,0.00020226168904505622,0.0008090467561802249
0.0321,1.1554120854655027e-08,2.887233478084723e-07,1.1542298725550842e-06,8.243837941889812e-06,0.00020609594854724533,0.0008243837941889813
0.0324,1.1761375002419385e-08,2.9389994134690785e-07,1.1749118991020874e-06,8.398648419442988e-06,0.0002099662104860747,0.0008398648419442988
0.0327,1.1970221683789811e-08,2.991162221947914e-07,1.1957520350328092e-06,8.554898994461774e-06,0.0002138724748615444,0.0008554898994461776
0.033,1.2180652593196084e-08,3.0437198266629524e-07,1.2167494396716957e-06,8.712589666946174e-06,0.00021781474167365433,0.0008712589666946173
0.033299999999999996,1.2392659530686504e-08,3.0966701402781054e-07,1.2379032682447468e-06,8.871720436896182e-06,0.0002217930109224046,0.0008871720436896184
0.0336,1.2606234139770942e-08,3.1500110657766037e-07,1.2592126720478239e-06,9.032291304311803e-06,0.0002258072826077951,0.0009032291304311804
0.0339,1.2821368087304279e-08,3.203740496167127e-07,1.2806767984416008e-06,9.194302269193034e-06,0.00022985755672982587,0.0009194302269193035
0.0342,1.3038052983349547e-08,3.2578563152823403e-07,1.3022947909721107e-06,9.357753331539875e-06,0.00023394383328849687,0.0009357753331539875
0.0345,1.325628044099871e-08,3.3123563975755927e-07,1.3240657895096022e-06,9.522644491352325e-06,0.0002380661122838082,0.0009522644491352328
0.0348,1.3476041942106075e-08,3.3672386082084003e-07,1.3459889301562555e-06,9.688975748630389e-06,0.0002422243937157598,0.0009688975748630391
0.0351,1.369732899874031e-08,3.422500803447877e-07,1.3680633454138747e-06,9.856747103374064e-06,0.0002464186775843517,0.0009856747103374067
0.0354,1.392013310595667e-08,3.4781408306962974e-07,1.3902881642711904e-06,1.0025958555583349e-05,0.0002506489638895838,0.0010025958555583351
0.0357,1.4144445657343938e-08,3.534156528478744e-07,1.4126625122464125e-06,1.0196610105258246e-05,0.0002549152526314562,0.0010196610105258248
0.036,1.437025808509853e-08,3.5905457271185664e-07,1.4351855113572706e-06,1.0368701752398751e-05,0.00025921754380996885,0.0010368701752398754
0.0363,1.4597561752294891e-08,3.647306248306521e-07,1.4578562804480218e-06,1.054223349700487e-05,0.00026355583742512177,0.001054223349700487
0.0366,1.4826347991766122e-08,3.70443590643823e-07,1.480673935031563e-06,1.0717205339076598e-05,0.000267930133476915,0.00107172053390766
0.036899999999999995,1.5056608097519394e-08,3.7619325066162084e-07,1.5036375873470825e-06,1.089361727861394e-05,0.0002723404319653485,0.001089361727861394
0.0372,1.5288333339397606e-08,3.819793847151384e-07,1.5267463466495916e-06,1.1071469315616888e-05,0.00027678673289042224,0.001107146931561689
0.0375,1.5521514970575994e-08,3.878017718587491e-07,1.5499993190425051e-06,1.125076145008545e-05,0.00028126903625213634,0.0011250761450085453
0.0378,1.5756144145983063e-08,3.936601903277318e-07,1.5733956077363616e-06,1.1431493682019624e-05,0.00028578734205049065,0.0011431493682019626
0.0381,1.5992212142387092e-08,3.9955441772771955e-07,1.596934312966014e-06,1.1613666011419409e-05,0.00029034165028548524,0.001161366601141941
0.0384,1.6229710059997174e-08,4.0548423090860017e-07,1.6206145321558246e-06,1.1797278438284801e-05,0.0002949319609571201,0.0011797278438284804
0.0387,1.646862902777666e-08,4.114494060236002e-07,1.644435360000002e-06,1.1982330962615806e-05,0.0002995582740653952,0.001198233096261581
0.039,1.6708960125192857e-08,4.1744971858866985e-07,1.6683958884920767e-06,1.2168823584412426e-05,0.0003042205896103107,0.0012168823584412427
0.0393,1.6950694470543123e-08,4.234849434123485e-07,1.6924952069372698e-06,1.2356756303674654e-05,0.0003089189075918664,0.0012356756303674656
0.0396,1.7193823053213367e-08,4.29554854707376e-07,1.7167324021681297e-06,1.254612912040249e-05,0.00031365322801006233,0.0012546129120402493
0.0399,1.7438336929549658e-08,4.356592260538657e-07,1.741106558507885e-06,1.273694203459594e-05,0.0003184235508648986,0.0012736942034595944
0.0402,1.7684227092671053e-08,4.4179783036830556e-07,1.7656167579254e-06,1.2929195046255002e-05,0.00032322987615637506,0.0012929195046255003
0.0405,1.7931484494808397e-08,4.479704400514702e-07,1.7902620799805952e-06,1.3122888155379671e-05,0.0003280722038844918,0.0013122888155379672
0.0408,1.8180100132584863e-08,4.5417682692505843e-07,1.8150416020738601e-06,1.3318021361969953e-05,0.0003329505340492489,0.0013318021361969955
0.041100000000000005,1.8430064855017785e-08,4.6041676226969095e-07,1.8399543993519327e-06,1.3514594666025848e-05,0.0003378648666506462,0.0013514594666025849
0.0414,1.868136964463517e-08,4.6669001679914817e-07,1.8649995448508003e-06,1.371260806754735e-05,0.0003428152016886838,0.0013712608067547353
0.0417,1.893400535573462e-08,4.7299636071030186e-07,1.8901761096182372e-06,1.3912061566534467e-05,0.0003478015391633617,0.0013912061566534468
0.042,1.9187962852414585e-08,4.793355637131662e-07,1.9154831626718566e-06,1.4112955162987191e-05,0.00035282387907467985,0.0014112955162987194
0.042300000000000004,1.944323300232239e-08,4.857073950285175e-07,1.9409197711593677e-06,1.4315288856905528e-05,0.0003578822214226382,0.0014315288856905529
0.042600000000000006,1.9699806616369443e-08,4.921116234668913e-07,1.9664850004127587e-06,1.4519062648289479e-05,0.00036297656620723696,0.0014519062648289478
0.0429,1.9957674485231133e-08,4.985480173853281e-07,1.992177914025903e-06,1.4724276537139035e-05,0.00036810691342847597,0.0014724276537139039
0.0432,2.0216827432090064e-08,5.050163446065686e-07,2.017997573874768e-06,1.4930930523454203e-05,0.0003732732630863552,0.0014930930523454208
0.0435,2.0477256225118194e-08,5.115163727086223e-07,2.043943040264616e-06,1.513902460723498e-05,0.0003784756151808746,0.0015139024607234983
0.0438,2.073895162371632e-08,5.18047868676783e-07,2.0700133719935866e-06,1.5348558788481374e-05,0.0003837139697120344,0.0015348558788481376
0.04409999999999999,2.1001904356509518e-08,5.246105993538904e-07,2.0962076263243156e-06,1.5559533067193375e-05,0.0003889883266798344,0.0015559533067193375
0.044399999999999995,2.1266105191309376e-08,5.31204331053408e-07,2.1225248592028115e-06,1.5771947443370986e-05,0.00039429868608427474,0.001577194744337099
0.0447,2.153154478546488e-08,5.3782882983453e-07,2.1489641252939707e-06,1.5985801917014214e-05,0.0003996450479253554,0.0015985801917014215
0.045,2.1798213900860014e-08,5.444838613785377e-07,2.1755244778778784e-06,1.620109648812305e-05,0.0004050274122030763,0.001620109648812305
0.0453,2.2066103194630754e-08,5.511691911469413e-07,2.2022049692058896e-06,1.6417831156697496e-05,0.00041044577891743744,0.0016417831156697498
0.045599999999999995,2.233520333345005e-08,5.578845842557976e-07,2.229004650357668e-06,1.6636005922737552e-05,0.00041590014806843883,0.0016636005922737553
0.045899999999999996,2.260550502685313e-08,5.646298055715286e-07,2.2559225714664455e-06,1.685562078624322e-05,0.00042139051965608054,0.0016855620786243222
0.0462,2.2876998908566853e-08,5.714046196727501e-07,2.2829577816445595e-06,1.70766757472145e-05,0.00042691689368036257,0.0017076675747214503
0.0465,2.314967564035743e-08,5.782087909963169e-07,2.3101093291412592e-06,1.729917080565139e-05,0.0004324792701412848,0.0017299170805651393
0.0468,2.3423525845118202e-08,5.85042083659192e-07,2.3373762614521233e-06,1.752310596155389e-05,0.00043807764903884734,0.0017523105961553894
0.047099999999999996,2.3698540136494633e-08,5.919042616786043e-07,2.364757625268904e-06,1.7748481214922002e-05,0.0004437120303730501,0.0017748481214922003
0.0474,2.3974709201808258e-08,5.98795088832634e-07,2.392252466635947e-06,1.7975296565755724e-05,0.00044938241414389313,0.0017975296565755725
0.0477,2.4252023593090556e-08,6.057143288031133e-07,2.4198598310986903e-06,1.820355201405506e-05,0.00045508880035137657,0.0018203552014055063
0.048,2.4530473977029443e-08,6.126617450325211e-07,2.447578763574913e-06,1.8433247559820003e-05,0.0004608311889955001,0.0018433247559820004
0.0483,2.4810050910194554e-08,6.196371009372836e-07,2.475408308610559e-06,1.8664383203050562e-05,0.00046660958007626403,0.0018664383203050561
0.0486,2.5090745041522198e-08,6.266401597612314e-07,2.5033475103206634e-06,1.8896958943746726e-05,0.0004724239735936682,0.001889695894374673
0.0489,2.5372546925890572e-08,6.336706846579351e-07,2.53139541255742e-06,1.9130974781908503e-05,0.00047827436954771263,0.0019130974781908505
0.0492,2.565544717563551e-08,6.407284387756109e-07,2.5595510589492145e-06,1.9366430717535894e-05,0.0004841607679383974,0.0019366430717535897
0.0495,2.5939436372217215e-08,6.478131851330018e-07,2.58781349301659e-06,1.960332675062889e-05,0.0004900831687657224,0.0019603326750628897
0.049800000000000004,2.6224505131895123e-08,6.549246867880337e-07,2.6161817580908673e-06,1.98416628811875e-05,0.0004960415720296876,0.0019841662881187505
0.0501,2.6510644014380334e-08,6.620627066824146e-07,2.644654897564069e-06,2.0081439109211723e-05,0.0005020359777302932,0.0020081439109211727
0.0504,2.679784360137808e-08,6.692270079048997e-07,2.6732319548890193e-06,2.0322655434701555e-05,0.0005080663858675389,0.0020322655434701557
0.0507,2.7086094477205828e-08,6.764173533564418e-07,2.7019119736030888e-06,2.0565311857656998e-05,0.0005141327964414251,0.0020565311857657005
0.051000000000000004,2.7375387241642482e-08,6.836335061526992e-07,2.7306939974764777e-06,2.0809408378078055e-05,0.0005202352094519514,0.0020809408378078056
0.051300000000000005,2.7665712492712006e-08,6.908752293664968e-07,2.759577070578416e-06,2.105494499596472e-05,0.000526373624899118,0.002105494499596472
0.0516,2.7957060834361857e-08,6.981422861659883e-07,2.78856023726602e-06,2.1301921711316996e-05,0.000532548042782925,0.0021301921711317
0.0519,2.824942281646695e-08,7.054344398126526e-07,2.8176425423401132e-06,2.155033852413488e-05,0.0005387584631033721,0.0021550338524134885
0.0522,2.8542789086241422e-08,7.127514536423824e-07,2.8468230311118183e-06,2.180019543441838e-05,0.0005450048858604595,0.002180019543441838
0.052500000000000005,2.883715019606629e-08,7.200930911353081e-07,2.87610074940971e-06,2.2051492442167487e-05,0.0005512873110541872,0.002205149244216749
0.05279999999999999,2.913249681573919e-08,7.274591159306293e-07,2.905474743681826e-06,2.23042295473822e-05,0.0005576057386845551,0.0022304229547382205
0.053099999999999994,2.9428819507110238e-08,7.348492917518974e-07,2.9349440611374194e-06,2.255840675006253e-05,0.0005639601687515634,0.0022558406750062534
0.053399999999999996,2.9726108885875578e-08,7.422633825912173e-07,2.9645077496724355e-06,2.2814024050208475e-05,0.0005703506012552119,0.0022814024050208477
0.0537,3.002435564966761e-08,7.497011525316386e-07,2.9941648580713217e-06,2.3071081447820026e-05,0.0005767770361955008,0.002307108144782003
0.054,3.0323550352195495e-08,7.571623659322644e-07,3.023914435970138e-06,2.332957894289719e-05,0.0005832394735724299,0.0023329578942897196
0.054299999999999994,3.0623683678443505e-08,7.646467873597326e-07,3.053755534073748e-06,2.3589516535439964e-05,0.0005897379133859992,0.002358951653543997
0.054599999999999996,3.09247462760304e-08,7.72154181629624e-07,3.0836872040473e-06,2.3850894225448352e-05,0.0005962723556362089,0.0023850894225448355
0.0549,3.1226728777844846e-08,7.796843137595838e-07,3.1137084987131522e-06,2.4113712012922343e-05,0.0006028428003230587,0.002411371201292235
0.0552,3.1529621874645606e-08,7.872369491153785e-07,3.143818472050616e-06,2.4377969897861952e-05,0.0006094492474465488,0.002437796989786195
0.0555,3.1833416262594426e-08,7.948118533027937e-07,3.1740161792904806e-06,2.4643667880267168e-05,0.0006160916970066793,0.002464366788026717
0.055799999999999995,3.213810259790902e-08,8.024087922573069e-07,3.2043006769756188e-06,2.4910805960138e-05,0.0006227701490034501,0.0024910805960138005
0.0561,3.244367164808561e-08,8.10027532216662e-07,3.2346710231175815e-06,2.517938413747444e-05,0.0006294846034368611,0.0025179384137474442
0.0564,3.275011405174768e-08,8.176678397742168e-07,3.2651262770573397e-06,2.544940241227649e-05,0.0006362350603069123,0.0025449402412276493
0.0567,3.305742062826066e-08,8.253294818971466e-07,3.295665499729946e-06,2.5720860784544156e-05,0.000643021519613604,0.002572086078454416
0.056999999999999995,3.3365582068988373e-08,8.330122259201833e-07,3.326287753630162e-06,2.5993759254277427e-05,0.0006498439813569357,0.002599375925427743
0.0573,3.367458914140204e-08,8.407158395501182e-07,3.356992102970062e-06,2.626809782147631e-05,0.0006567024455369078,0.0026268097821476313
