t,ex,red,th
0.66,0.003468295469553343,0.0011240769746614862,0.0011240769746614799
0.6629999999999999,0.003350197348097923,0.0010625216446871887,0.001062521644687184
0.666,0.0032310730052469484,0.001000010116950732,0.001000010116950727
0.6689999999999999,0.0031110098128039002,0.0009365986476076777,0.0009365986476076744
0.672,0.002990093474286774,0.0008723443027002886,0.0008723443027002832
0.6749999999999999,0.002868407793982168,0.0008073049068019431,0.0008073049068019393
0.678,0.002746034474672987,0.0007415389909789224,0.0007415389909789164
0.6809999999999999,0.0026230529466273094,0.000675105740116401,0.0006751057401163965
0.684,0.002499540229971406,0.0006080649396560451,0.0006080649396560403
0.6869999999999999,0.0023755708320743773,0.0005404769217931509,0.000540476921793148
0.6900000000000001,0.002251216681054555,0.00047240251118174073,0.0004724025111817375
0.693,0.002126547095988142,0.00040390297019647983,0.0004039029701964783
0.696,0.0020016287938675985,0.00033503994380067474,0.0003350399438006753
0.699,0.0018765259328301644,0.0002658754040699668,0.0002658754040699648
0.702,0.001751300190663857,0.00019647159442164725,0.00019647159442164703
0.705,0.0016260108771076387,0.00012689097359978301,0.0001268909735997806
0.708,0.0015007150780007136,5.7196159466562736e-05,5.7196159466561943e-05
0.711,0.0013754678289101031,-1.2550127349552507e-05,-1.255012734955349e-05
0.714,0.001250322315480758,-8.228511989816133e-05,-8.228511989816071e-05
0.717,0.001125330097412877,-0.00015194606139294078,-0.00015194606139294045
0.72,0.0010005413526807938,-0.00022147026168851803,-0.00022147026168851578
0.723,0.0008760051383685686,-0.0002907951536973698,-0.0002907951536973699
0.726,0.0007517696643113741,-0.000359858349695978,-0.0003598583496959762
0.729,0.0006278825755991154,-0.00042859769746956975,-0.00042859769746957023
0.732,0.0005043912399194618,-0.0004969513362449155,-0.0004969513362449143
0.735,0.00038134303569031976,-0.0005648577523608498,-0.000564857752360849
0.738,0.00025878563695522997,-0.0006322558346264137,-0.0006322558346264109
0.741,0.00013676729108673142,-0.0006990849293168025,-0.0006990849293167999
0.744,1.533708545963311e-05,-0.0007652848947576233,-0.0007652848947576189
0.747,-0.0001054548005848142,-0.0008307961554483429,-0.0008307961554483406
0.75,-0.000225556861965288,-0.0008955597556762171,-0.0008955597556762133
0.753,-0.00034491605552617265,-0.0009595174125724528,-0.0009595174125724511
0.756,-0.0004634776121280799,-0.0010226115685628555,-0.0010226115685628523
0.759,-0.0005811848758576264,-0.001084785443165762,-0.0010847854431657587
0.762,-0.0006979791727367694,-0.0011459830840906398,-0.001145983084090635
0.765,-0.0008137997109780692,-0.001206149417591374,-0.0012061494175913691
0.768,-0.0009285835144822599,-0.0012652302980289188,-0.0012652302980289127
0.7709999999999999,-0.0010422653909118187,-0.001323172556598721,-0.0013231725565987131
0.774,-0.001154777935302087,-0.0013799240491790524,-0.0013799240491790465
0.7769999999999999,-0.0012660515697931012,-0.0014354337032572017,-0.001435433703257194
0.78,-0.0013760146196834262,-0.0014896515638912877,-0.001489651563891282
0.7829999999999999,-0.001484593425624852,-0.0015425288386663356,-0.0015425288386663285
0.786,-0.001591712491396357,-0.001594017941604157,-0.00159401794160415
0.7889999999999999,-0.0016972946663199873,-0.0016440725359875177,-0.0016440725359875095
0.792,-0.0018012613610126388,-0.001692647576060057,-0.0016926475760600487
0.7949999999999999,-0.0019035327948087714,-0.0017396993475644257,-0.0017396993475644162
0.798,-0.002004028272842359,-0.0017851855070821698,-0.0017851855070821615
0.8009999999999999,-0.0021026664904443735,-0.0018290651201399465,-0.001829065120139937
