t,r0,r1,r2,r3,r4,c0,c1,c2,c3,c4
5.59,0.020703507471870983,0.016427141327033153,0.011541626430756713,0.005742953053400373,0.0066688506134793355,0.02070350747187098,0.01642714132703315,0.011541626430756713,0.005742953053400394,0.006668850613479349
5.6000000000000005,0.020702605698379135,0.016416536864856224,0.011528143193122982,0.005744679179851438,0.006671047286806582,0.02070260569837913,0.01641653686485622,0.011528143193122982,0.005744679179851459,0.006671047286806596
5.61,0.020701701751895108,0.01640593700662154,0.0115146866299989,0.005746411537054226,0.006673236363527154,0.020701701751895105,0.016405937006621536,0.0115146866299989,0.005746411537054246,0.0066732363635271675
5.62,0.020700795635260266,0.01639534177870865,0.01150125670396606,0.00574815003274745,0.006675417868454971,0.020700795635260262,0.016395341778708647,0.01150125670396606,0.00574815003274747,0.0066754178684549845
5.63,0.02069988735131292,0.01638475120731775,0.01148785337752156,0.005749894575521665,0.006677591826385369,0.020699887351312916,0.016384751207317746,0.01148785337752156,0.005749894575521687,0.006677591826385382
5.64,0.020698976902888327,0.016374165318470624,0.011474476613079643,0.005751645074811914,0.00667975826209365,0.020698976902888324,0.01637416531847062,0.011474476613079643,0.005751645074811935,0.006679758262093664
5.65,0.020698064292818685,0.0163635841380116,0.011461126372973368,0.005753401440890445,0.006681917200333644,0.02069806429281868,0.016363584138011596,0.011461126372973368,0.005753401440890465,0.006681917200333657
5.66,0.020697149523933152,0.01635300769160847,0.011447802619456215,0.0057551635848594965,0.006684068665836316,0.02069714952393315,0.016353007691608468,0.011447802619456215,0.0057551635848595165,0.006684068665836329
5.67,0.020696232599057826,0.016342436004753463,0.01143450531470372,0.005756931418644155,0.006686212683308416,0.020696232599057823,0.01634243600475346,0.01143450531470372,0.005756931418644174,0.006686212683308428
5.68,0.020695313521015772,0.01633186910276414,0.011421234420815054,0.005758704854985252,0.006688349277431137,0.02069531352101577,0.016331869102764136,0.011421234420815054,0.005758704854985271,0.006688349277431147
5.69,0.020694392292627005,0.016321307010784342,0.011407989899814602,0.005760483807432352,0.006690478472858818,0.020694392292627,0.01632130701078434,0.011407989899814602,0.00576048380743237,0.00669047847285883
5.7,0.02069346891670852,0.01631074975378509,0.011394771713653537,0.005762268190336779,0.006692600294217684,0.020693468916708518,0.016310749753785086,0.011394771713653537,0.005762268190336798,0.006692600294217696
5.71,0.02069254339607426,0.016300197356565516,0.011381579824211351,0.005764057918844727,0.006694714766104603,0.020692543396074257,0.016300197356565512,0.011381579824211351,0.005764057918844746,0.0066947147661046156
5.72,0.020691615733535153,0.01628964984375379,0.011368414193297387,0.005765852908890408,0.0066968219130858755,0.02069161573353515,0.016289649843753785,0.011368414193297387,0.0057658529088904275,0.006696821913085887
5.73,0.02069068593189909,0.016279107239807997,0.011355274782652365,0.0057676530771892795,0.006698921759696055,0.020690685931899086,0.016279107239807994,0.011355274782652365,0.005767653077189298,0.0066989217596960665
5.74,0.020689753993970942,0.016268569569017063,0.011342161553949855,0.00576945834123132,0.006701014330436802,0.02068975399397094,0.01626856956901706,0.011342161553949855,0.005769458341231338,0.0067010143304368115
5.75,0.02068881992255256,0.016258036855501624,0.011329074468797776,0.005771268619274368,0.006703099649775752,0.020688819922552556,0.01625803685550162,0.011329074468797776,0.005771268619274386,0.006703099649775761
5.76,0.020687883720442765,0.016247509123214952,0.01131601348873985,0.005773083830337526,0.006705177742145427,0.02068788372044276,0.01624750912321495,0.01131601348873985,0.0057730838303375435,0.006705177742145434
5.7700000000000005,0.020686945390437386,0.016236986395943835,0.01130297857525706,0.005774903894194609,0.0067072486319421625,0.020686945390437382,0.01623698639594383,0.01130297857525706,0.005774903894194626,0.0067072486319421695
5.78,0.020686004935329218,0.016226468697309437,0.011289969689769088,0.005776728731367661,0.0067093123435250646,0.020686004935329214,0.016226468697309433,0.011289969689769088,0.005776728731367679,0.0067093123435250715
5.79,0.020685062357908058,0.016215956050768202,0.011276986793635717,0.005778558263120527,0.006711368901214993,0.020685062357908054,0.0162159560507682,0.011276986793635717,0.005778558263120545,0.006711368901215001
5.8,0.020684117660960705,0.016205448479612732,0.011264029848158243,0.005780392411452475,0.006713418329293571,0.0206841176609607,0.01620544847961273,0.011264029848158243,0.005780392411452494,0.00671341832929358
5.8100000000000005,0.02068317084727094,0.016194946006972636,0.011251098814580874,0.00578223109909188,0.006715460652002217,0.020683170847270938,0.016194946006972633,0.011251098814580874,0.0057822310990919,0.006715460652002225
5.82,0.020682221919619572,0.016184448655815396,0.011238193654092088,0.0057840742494899705,0.006717495893541201,0.02068222191961957,0.016184448655815392,0.011238193654092088,0.0057840742494899905,0.0067174958935412084
5.83,0.020681270880784385,0.016173956448947265,0.011225314327826008,0.005785921786814601,0.006719524078068723,0.02068127088078438,0.01617395644894726,0.011225314327826008,0.0057859217868146216,0.006719524078068732
5.84,0.020680317733540177,0.016163469409014072,0.011212460796863735,0.005787773635944119,0.006721545229700031,0.020680317733540173,0.01616346940901407,0.011212460796863735,0.005787773635944141,0.006721545229700041
5.8500000000000005,0.020679362480658763,0.016152987558502117,0.011199633022234683,0.005789629722461256,0.006723559372506536,0.02067936248065876,0.016152987558502113,0.011199633022234683,0.005789629722461278,0.006723559372506545
5.86,0.02067840512490898,0.016142510919738985,0.011186830964917897,0.005791489972647083,0.006725566530514965,0.020678405124908976,0.01614251091973898,0.011186830964917897,0.0057914899726471064,0.0067255665305149745
5.87,0.020677445669056674,0.01613203951489442,0.011174054585843356,0.005793354313475013,0.006727566727706539,0.02067744566905667,0.016132039514894416,0.011174054585843356,0.005793354313475036,0.00672756672770655
5.88,0.020676484115864705,0.016121573365981128,0.011161303845893257,0.0057952226726048685,0.0067295599880161676,0.0206764841158647,0.016121573365981124,0.011161303845893257,0.005795222672604891,0.00672955998801618
5.89,0.02067552046809297,0.01611111249485566,0.011148578705903295,0.005797094978376979,0.006731546335331661,0.020675520468092966,0.016111112494855657,0.011148578705903295,0.005797094978377003,0.006731546335331673
5.9,0.020674554728498384,0.0161006569232192,0.011135879126663925,0.005798971159806356,0.006733525793492968,0.02067455472849838,0.016100656923219197,0.011135879126663925,0.005798971159806378,0.006733525793492981
5.91,0.02067358689983489,0.016090206672618408,0.011123205068921607,0.0058008511465768905,0.006735498386291439,0.020673586899834888,0.016090206672618405,0.011123205068921607,0.005800851146576912,0.006735498386291452
5.92,0.020672616984853464,0.016079761764446244,0.011110556493380035,0.005802734869035628,0.006737464137469099,0.02067261698485346,0.01607976176444624,0.011110556493380035,0.00580273486903565,0.006737464137469113
5.93,0.02067164498630213,0.01606932221994277,0.011097933360701372,0.005804622258187076,0.006739423070717948,0.020671644986302126,0.016069322219942766,0.011097933360701372,0.005804622258187098,0.006739423070717961
5.94,0.020670670906925936,0.016058888060195987,0.011085335631507447,0.0058065132456875624,0.006741375209679278,0.020670670906925932,0.016058888060195984,0.011085335631507447,0.005806513245687585,0.006741375209679292
5.95,0.020669694749466973,0.01604845930614263,0.011072763266380953,0.005808407763839649,0.006743320577943013,0.02066969474946697,0.016048459306142626,0.011072763266380953,0.005808407763839671,0.006743320577943027
5.96,0.020668716516664395,0.016038035978568965,0.01106021622586663,0.005810305745586587,0.006745259199047058,0.020668716516664392,0.016038035978568958,0.01106021622586663,0.005810305745586609,0.006745259199047074
5.97,0.020667736211254388,0.016027618098111616,0.011047694470472437,0.005812207124506825,0.00674719109647668,0.020667736211254385,0.01602761809811161,0.011047694470472437,0.0058122071245068465,0.006747191096476694
5.98,0.020666753835970192,0.016017205685258322,0.011035197960670701,0.005814111834808561,0.006749116293663894,0.02066675383597019,0.016017205685258315,0.011035197960670701,0.005814111834808584,0.006749116293663908
5.99,0.020665769393542106,0.016006798760348776,0.011022726656899278,0.005816019811324349,0.006751034813986876,0.020665769393542102,0.01600679876034877,0.011022726656899278,0.005816019811324372,0.0067510348139868896
6.0,0.020664782886697482,0.015996397343575375,0.011010280519562663,0.005817930989505737,0.0067529466807693915,0.02066478288669748,0.01599639734357537,0.011010280519562663,0.005817930989505759,0.006752946680769405
6.01,0.020663794318160733,0.015986001454984026,0.01099785950903313,0.005819845305417964,0.006754851917280237,0.02066379431816073,0.01598600145498402,0.01099785950903313,0.0058198453054179875,0.006754851917280251
6.0200000000000005,0.020662803690653344,0.015975611114474913,0.010985463585651828,0.005821762695734704,0.006756750546732699,0.02066280369065334,0.015975611114474906,0.010985463585651828,0.005821762695734728,0.006756750546732713
6.03,0.020661811006893866,0.01596522634180328,0.010973092709729881,0.005823683097732841,0.006758642592284037,0.020661811006893863,0.015965226341803272,0.010973092709729881,0.005823683097732866,0.0067586425922840495
6.04,0.020660816269597905,0.015954847156580205,0.010960746841549473,0.005825606449287308,0.006760528077034971,0.0206608162695979,0.015954847156580198,0.010960746841549473,0.005825606449287333,0.0067605280770349835
6.05,0.020659819481478155,0.015944473578273364,0.010948425941364921,0.005827532688865948,0.006762407024029197,0.020659819481478152,0.015944473578273357,0.010948425941364921,0.005827532688865971,0.006762407024029209
