t,e,b,l
1.494,0.026274638224819534,0.16649333506543784,0.014163207564176423
1.497,0.026134303288918175,0.16589503664252572,0.014112311684496354
1.5,0.025994801016768265,0.16529888822161048,0.014061598700573243
1.503,0.025856122097689435,0.16470488207660028,0.014011067955166115
1.506,0.025718257517373416,0.16411301050916705,0.013960718793395785
1.5090000000000001,0.025581198819427185,0.16352326584864715,0.013910550562736431
1.512,0.02544493836839956,0.16293564045194145,0.013860562613007072
1.515,0.025309469600687175,0.16235012670341656,0.013810754296363179
1.518,0.02517478725060097,0.16176671701480608,0.013761124967288268
1.5210000000000001,0.025040887540289672,0.1611854038251124,0.013711673982585553
1.524,0.02490776832393656,0.16060617960050838,0.013662400701369573
1.527,0.02477542917852571,0.16002903683423994,0.01361330448505791
1.53,0.024643871435431196,0.15945396804652873,0.013564384697362914
1.5330000000000001,0.02451309814912249,0.15888096578447528,0.013515640704283455
1.536,0.024383114001418977,0.15831002262196225,0.013467071874096704
1.539,0.024253925142019107,0.1577411311595582,0.013418677577349932
1.5419999999999998,0.024125538968455464,0.15717428402442188,0.013370457186852385
1.5450000000000002,0.023997963851151258,0.15660947387020638,0.013322410077667116
1.548,0.023871208811740728,0.15604669337696433,0.013274535627102929
1.551,0.0237452831651271,0.15548593525105261,0.013226833214706272
1.5539999999999998,0.02362019613768907,0.15492719222503806,0.013179302222253213
1.5570000000000002,0.023495956475458737,0.15437045705760313,0.013131942033741413
1.56,0.023372572056846543,0.15381572253345246,0.013084752035382183
1.563,0.023250049524531843,0.15326298146321873,0.013037731615592477
1.5659999999999998,0.023128393950454247,0.15271222668336998,0.012990880164986996
1.5690000000000002,0.023007608546515394,0.15216345105611645,0.012944197076370277
1.572,0.022887694431714324,0.15161664746931847,0.01289768174472885
1.575,0.022768650464127096,0.15107180883639384,0.012851333567223362
1.5779999999999998,0.02265047314353296,0.15052892809622626,0.012805151943180782
1.5810000000000002,0.02253315658770216,0.14998799821307365,0.012759136274086612
1.584,0.022416692582523448,0.14944901217647732,0.012713285963577148
1.587,0.022301070703360522,0.1489119630011706,0.012667600417431715
1.5899999999999999,0.022186278502403196,0.14837684372698864,0.012622079043565
1.5930000000000002,0.022072301754405457,0.14784364741877815,0.01257672125201935
1.596,0.021959124751178907,0.1473123671663076,0.012531526454957169
1.599,0.021846730633601312,0.14678299608417744,0.012486494066653244
1.6019999999999999,0.02173510174876931,0.14625552731173103,0.012441623503487195
1.6050000000000002,0.021624220019309,0.1457299540129656,0.012396914183935886
1.608,0.021514067311782317,0.145206269376444,0.012352365528565926
1.611,0.0214046257916082,0.14468446661520595,0.012307976960026109
1.6139999999999999,0.02129587825294807,0.14416453896668036,0.012263747903039966
1.6169999999999998,0.021187808413572984,0.1436464796925976,0.0122196777843983
1.62,0.021080401166783613,0.1431302820789022,0.012175766032951748
1.623,0.020973642784901544,0.14261593943566597,0.012132012079603415
1.626,0.02086752107153891,0.14210344509700099,0.01208841535730144
1.6289999999999998,0.020762025462570534,0.14159279242097347,0.012044975301031697
1.6320000000000001,0.02065714707821836,0.1410839747895175,0.01200169134781044
1.635,0.020552878730644777,0.14057698560834958,0.011958562936677042
1.638,0.02044921489270525,0.14007181830688278,0.011915589508686682
1.6409999999999998,0.020346151633910195,0.13956846633814182,0.01187277050690314
1.6440000000000001,0.02024368652918789,0.13906692317867803,0.011830105376391538
1.647,0.020141818544887332,0.1385671823284852,0.011787593564211206
1.65,0.020040547904899272,0.13806923731091483,0.011745234519408454
1.6529999999999998,0.019939875938156004,0.13757308167259255,0.011703027693009469
1.6560000000000001,0.01983980490745684,0.13707870898333424,0.011660972538013183
1.659,0.019740337818842685,0.13658611283606312,0.011619068509384213
1.662,0.019641478210776116,0.13609528684672612,0.011577315064045756
1.6649999999999998,0.01954322992321341,0.13560622465421152,0.011535711660872573
1.6680000000000001,0.019445596848180237,0.13511891992026645,0.011494257760683973
1.671,0.019348582665498167,0.13463336632941486,0.011452952826236842
1.674,0.01925219056959914,0.1341495575888753,0.011411796322218639
1.6769999999999998,0.019156422995633665,0.13366748742847978,0.011370787715240504
1.6800000000000002,0.019061281355044833,0.1331871496005922,0.011329926473830309
1.683,0.018966765792189706,0.13270853788002768,0.011289212068425801
1.686,0.01887287497420939,0.1322316460639716,0.011248643971367711
